name;description;powerMax;powerMin;rampUp;rampDown;marginalCosts;shutdownCosts
NEURATH F;lignite;1120;280;336;336;20,75;53424
NEURATH G;lignite;1120;280;336;336;20,75;53424
BOXBERG R;lignite;675;169;203;203;20,8;32198
NIEDERAUSSEM K;lignite;1012;253;304;304;21,3;48272
COTTBUS CHP S2;lignite;18;5;5;5;21,58;859
COTTBUS CHP S1;lignite;48;12;14;14;21,58;2290
LIPPENDORF R;lignite;933;233;280;280;21,58;44504
BOXBERG Q;lignite;907;227;272;272;21,63;43264
LIPPENDORF S;lignite;933;233;280;280;21,63;44504
SCHKOPAU-II A;lignite;480;120;144;144;21,87;22896
SCHKOPAU-II B;lignite;480;120;144;144;21,87;22896
SCHWARZE PUMPE A;lignite;800;200;240;240;21,97;38160
SCHWARZE PUMPE B;lignite;800;200;240;240;22,02;38160
DESSAU S1;lignite;17;4;5;5;22,38;811
DESSAU S2;lignite;17;4;5;5;22,38;811
CHEMNITZ NORD-II NO 3;lignite;75;45;11;11;22,64;3975
GOLDENBERG K;lignite;171;103;26;26;22,75;9063
JANSCHWALDE D;lignite;500;125;150;150;23,02;23850
KLINGENBERG 5;lignite;60;36;9;9;23,02;3180
KLINGENBERG 6;lignite;60;36;9;9;23,02;3180
JANSCHWALDE E;lignite;500;125;150;150;23,13;23850
JANSCHWALDE F;lignite;500;125;150;150;23,13;23850
CHEMNITZ NORD-II NO 2;lignite;67;40;10;10;23,13;3551
JANSCHWALDE B;lignite;500;125;150;150;23,47;23850
NIEDERAUSSEM G;lignite;620;372;93;93;23,47;32860
JANSCHWALDE C;lignite;500;125;150;150;23,52;23850
NIEDERAUSSEM H;lignite;620;372;93;93;23,82;32860
BOXBERG P;lignite;500;300;75;75;23,94;26500
JANSCHWALDE A;lignite;500;125;150;150;24,06;23850
KLINGENBERG 4;lignite;60;36;9;9;24,06;3180
NEURATH D;lignite;600;360;90;90;24,43;31800
WEISWEILER H;lignite;600;360;90;90;24,43;31800
NEURATH E;lignite;600;360;90;90;24,49;31800
