tick;supply
0;2152.75
1;2113.75
2;2127.00
3;2110.00
4;2008.75
5;1998.50
6;2009.75
7;2069.25
8;2139.25
9;2190.25
10;2252.50
11;2221.25
12;2247.50
13;2269.00
14;2271.00
15;2182.00
16;2133.00
17;2124.75
18;2123.75
19;2128.00
20;2116.00
21;2106.50
22;2076.00
23;2061.75
24;2026.25
25;2026.25
26;1992.50
27;2001.75
28;2029.00
29;2090.00
30;2051.75
31;2062.50
32;2096.00
33;2146.75
34;2125.50
35;2183.00
36;2303.50
37;2408.25
38;2368.75
39;2336.00
40;2441.00
41;2586.25
42;2663.75
43;2716.00
44;2797.75
45;2917.00
46;3039.25
47;3123.75
48;3099.25
49;3104.75
50;3104.25
51;3182.50
52;3126.50
53;3046.50
54;3008.50
55;2907.50
56;2809.50
57;2604.75
58;2461.75
59;2308.50
60;2110.75
61;1993.25
62;1966.75
63;1920.00
64;1909.00
65;2005.75
66;2157.25
67;2180.25
68;2286.25
69;2439.00
70;2522.50
71;2575.75
72;2632.25
73;2710.75
74;2780.75
75;2911.75
76;2948.50
77;3051.75
78;3147.25
79;3209.75
80;3208.75
81;3182.50
82;3236.00
83;3221.25
84;3180.50
85;3175.25
86;3277.25
87;3346.75
88;3317.50
89;3385.50
90;3407.00
91;3388.50
92;3435.00
93;3553.25
94;3534.50
95;3468.25
96;3430.00
97;3464.50
98;3417.00
99;3465.75
100;3466.75
101;3457.25
102;3422.75
103;3479.00
104;3516.25
105;3512.50
106;3527.75
107;3541.75
108;3643.75
109;3675.00
110;3727.25
111;3740.25
112;3693.00
113;3728.50
114;3790.00
115;3786.75
116;3736.00
117;3785.50
118;3794.75
119;3810.75
120;3912.00
121;3905.25
122;3930.25
123;3957.75
124;3994.50
125;4028.25
126;3942.00
127;3899.50
128;3868.75
129;3851.25
130;3825.50
131;3848.50
132;3789.25
133;3793.25
134;3823.75
135;3865.50
136;3948.75
137;3958.50
138;3930.75
139;3943.50
140;3962.00
141;3856.75
142;3839.75
143;3750.25
144;3732.25
145;3783.75
146;3874.00
147;3882.75
148;3827.50
149;3889.00
150;3849.25
151;3693.75
152;3659.00
153;3568.25
154;3468.00
155;3394.50
156;3345.25
157;3262.25
158;3187.25
159;3111.25
160;3026.75
161;2925.00
162;2978.25
163;3045.75
164;3063.00
165;3108.00
166;3115.75
167;3144.50
168;3068.25
169;3013.50
170;2942.50
171;2951.50
172;2953.00
173;2937.25
174;2927.75
175;2840.50
176;2766.25
177;2745.25
178;2633.00
179;2597.25
180;2543.25
181;2458.50
182;2431.50
183;2350.25
184;2284.75
185;2172.00
186;2151.00
187;2181.00
188;2218.25
189;2185.00
190;2195.75
191;2186.75
192;2070.50
193;2001.00
194;1923.50
195;1921.00
196;1975.50
197;2006.25
198;1949.50
199;1955.25
200;1935.75
201;2023.25
202;2060.75
203;2140.75
204;2203.75
205;2257.25
206;2333.00
207;2377.00
208;2382.25
209;2499.50
210;2569.50
211;2625.25
212;2692.50
213;2768.25
214;2782.00
215;2813.75
216;2889.25
217;3048.25
218;3083.75
219;3144.25
220;3198.25
221;3248.00
222;3292.75
223;3292.25
224;3378.00
225;3616.75
226;3680.00
227;3727.75
228;3881.25
229;4012.00
