tick;supply
0;8611.0
1;8455.0
2;8508.0
3;8440.0
4;8035.0
5;7994.0
6;8039.0
7;8277.0
8;8557.0
9;8761.0
10;9010.0
11;8885.0
12;8990.0
13;9076.0
14;9084.0
15;8728.0
16;8532.0
17;8499.0
18;8495.0
19;8512.0
20;8464.0
21;8426.0
22;8304.0
23;8247.0
24;8105.0
25;8105.0
26;7970.0
27;8007.0
28;8116.0
29;8360.0
30;8207.0
31;8250.0
32;8384.0
33;8587.0
34;8502.0
35;8732.0
36;9214.0
37;9633.0
38;9475.0
39;9344.0
40;9764.0
41;10345.0
42;10655.0
43;10864.0
44;11191.0
45;11668.0
46;12157.0
47;12495.0
48;12397.0
49;12419.0
50;12417.0
51;12730.0
52;12506.0
53;12186.0
54;12034.0
55;11630.0
56;11238.0
57;10419.0
58;9847.0
59;9234.0
60;8443.0
61;7973.0
62;7867.0
63;7680.0
64;7636.0
65;8023.0
66;8629.0
67;8721.0
68;9145.0
69;9756.0
70;10090.0
71;10303.0
72;10529.0
73;10843.0
74;11123.0
75;11647.0
76;11794.0
77;12207.0
78;12589.0
79;12839.0
80;12835.0
81;12730.0
82;12944.0
83;12885.0
84;12722.0
85;12701.0
86;13109.0
87;13387.0
88;13270.0
89;13542.0
90;13628.0
91;13554.0
92;13740.0
93;14213.0
94;14138.0
95;13873.0
96;13720.0
97;13858.0
98;13668.0
99;13863.0
100;13867.0
101;13829.0
102;13691.0
103;13916.0
104;14065.0
105;14050.0
106;14111.0
107;14167.0
108;14575.0
109;14700.0
110;14909.0
111;14961.0
112;14772.0
113;14914.0
114;15160.0
115;15147.0
116;14944.0
117;15142.0
118;15179.0
119;15243.0
120;15648.0
121;15621.0
122;15721.0
123;15831.0
124;15978.0
125;16113.0
126;15768.0
127;15598.0
128;15475.0
129;15405.0
130;15302.0
131;15394.0
132;15157.0
133;15173.0
134;15295.0
135;15462.0
136;15795.0
137;15834.0
138;15723.0
139;15774.0
140;15848.0
141;15427.0
142;15359.0
143;15001.0
144;14929.0
145;15135.0
146;15496.0
147;15531.0
148;15310.0
149;15556.0
150;15397.0
151;14775.0
152;14636.0
153;14273.0
154;13872.0
155;13578.0
156;13381.0
157;13049.0
158;12749.0
159;12445.0
160;12107.0
161;11700.0
162;11913.0
163;12183.0
164;12252.0
165;12432.0
166;12463.0
167;12578.0
168;12273.0
169;12054.0
170;11770.0
171;11806.0
172;11812.0
173;11749.0
174;11711.0
175;11362.0
176;11065.0
177;10981.0
178;10532.0
179;10389.0
180;10173.0
181;9834.0
182;9726.0
183;9401.0
184;9139.0
185;8688.0
186;8604.0
187;8724.0
188;8873.0
189;8740.0
190;8783.0
191;8747.0
192;8282.0
193;8004.0
194;7694.0
195;7684.0
196;7902.0
197;8025.0
198;7798.0
199;7821.0
200;7743.0
201;8093.0
202;8243.0
203;8563.0
204;8815.0
205;9029.0
206;9332.0
207;9508.0
208;9529.0
209;9998.0
210;10278.0
211;10501.0
212;10770.0
213;11073.0
214;11128.0
215;11255.0
216;11557.0
217;12193.0
218;12335.0
219;12577.0
220;12793.0
221;12992.0
222;13171.0
223;13169.0
224;13512.0
225;14467.0
226;14720.0
227;14911.0
228;15525.0
229;16048.0
230;17049.0
231;17753.0
232;18311.0
233;19038.0
234;19418.0
235;19702.0
236;19871.0
237;19799.0
238;20066.0
239;20204.0
240;19717.0
241;18938.0
242;18991.0
243;19020.0
244;19139.0
245;18889.0
246;18681.0
247;18648.0
248;18230.0
249;18139.0
250;17758.0
251;17642.0
252;17005.0
253;16761.0
254;16240.0
255;16091.0
256;15787.0
257;15418.0
258;15354.0
259;14909.0
260;14642.0
261;14727.0
262;14652.0
263;14865.0
264;15577.0
265;16020.0
266;16131.0
267;16114.0
268;16222.0
269;16562.0
270;15627.0
271;15025.0
272;15581.0
273;15802.0
274;16354.0
275;16654.0
276;17104.0
277;17032.0
278;16592.0
279;17244.0
280;17351.0
281;17852.0
282;17864.0
283;18411.0
284;18964.0
285;18812.0
286;18513.0
287;18188.0
288;18397.0
289;18461.0
290;18753.0
291;18568.0
292;18206.0
293;17897.0
294;17538.0
295;17639.0
296;17323.0
297;17434.0
298;16967.0
299;16948.0
300;16531.0
301;16466.0
302;16694.0
303;16985.0
304;16648.0
305;16218.0
306;15943.0
307;15663.0
308;15456.0
309;14713.0
310;14770.0
311;14657.0
312;14609.0
313;14536.0
314;14254.0
315;13822.0
316;13462.0
317;12817.0
318;12643.0
319;12527.0
320;12384.0
321;12035.0
322;11712.0
323;11825.0
324;12095.0
325;12325.0
326;12661.0
327;12685.0
328;12759.0
329;12944.0
330;13084.0
331;12962.0
332;12749.0
333;12386.0
334;12119.0
335;11635.0
336;11326.0
337;10867.0
338;10729.0
339;10217.0
340;10119.0
341;9765.0
342;9596.0
343;9305.0
344;9064.0
345;8694.0
346;8478.0
347;8647.0
348;8700.0
349;8682.0
350;8909.0
351;8932.0
352;9078.0
353;9014.0
354;9369.0
355;9593.0
356;9818.0
357;10134.0
358;10658.0
359;10698.0
360;10570.0
361;10564.0
362;10324.0
363;10256.0
364;10250.0
365;10136.0
366;10143.0
367;9747.0
368;9504.0
369;9635.0
370;9206.0
371;8693.0
372;8820.0
373;8627.0
374;8417.0
375;8221.0
376;7922.0
377;7790.0
378;7450.0
379;7333.0
380;7308.0
381;7197.0
382;6982.0
383;6663.0
384;6368.0
385;6124.0
386;6037.0
387;5823.0
388;5813.0
389;5579.0
390;5373.0
391;5135.0
392;5094.0
393;5347.0
394;5320.0
395;5365.0
396;5408.0
397;5557.0
398;5245.0
399;5358.0
400;5580.0
401;5531.0
402;5731.0
403;6048.0
404;5873.0
405;5953.0
406;6055.0
407;6157.0
408;6326.0
409;6602.0
410;6789.0
411;6697.0
412;6672.0
413;6670.0
414;6313.0
415;6553.0
416;6840.0
417;7234.0
