tick;supply
0;2133
1;2133
2;2133
3;2133
4;2133
5;2133
6;2133
7;2133
8;2133
9;2133
10;2133
11;2133
12;2133
13;2133
14;2133
15;2133
16;2133
17;2133
18;2133
19;2133
20;2133
21;2133
22;2133
23;2133
24;2133
25;2133
26;2133
27;2133
28;2133
29;2133
30;2133
31;2133
32;2133
33;2133
34;2133
35;2133
36;2133
37;2133
38;2133
39;2133
40;2133
41;2133
42;2133
43;2133
44;2133
45;2133
46;2133
47;2133
48;2133
49;2133
50;2133
51;2133
52;2133
53;2133
54;2133
55;2133
56;2133
57;2133
58;2133
59;2133
60;2133
61;2133
62;2133
63;2133
64;2133
65;2133
66;2133
67;2133
68;2133
69;2133
70;2133
71;2133
72;2133
73;2133
74;2133
75;2133
76;2133
77;2133
78;2133
79;2133
80;2133
81;2133
82;2133
83;2133
84;2133
85;2133
86;2133
87;2133
88;2133
89;2133
90;2133
91;2133
92;2133
93;2133
94;2133
95;2133
