tick;price
0;23,47
1;21,63
2;21,3
3;21,58
4;21,58
5;21,58
6;21,58
7;21,58
8;21,58
9;21,58
10;21,58
11;21,58
12;21,58
13;21,58
14;21,58
15;21,58
16;21,58
17;21,58
18;21,58
19;21,58
20;21,58
21;21,58
22;21,58
23;21,58
24;21,58
25;21,58
26;21,58
27;21,58
28;21,58
29;21,58
30;21,58
31;21,58
32;21,58
33;21,58
34;21,58
35;21,58
36;21,58
37;21,58
38;21,58
39;21,58
40;21,58
41;21,58
42;21,58
43;21,58
44;21,58
45;21,58
46;21,58
47;21,58
48;21,58
49;21,58
50;21,58
51;21,58
52;21,58
53;21,58
54;21,58
55;21,58
56;21,58
57;21,58
58;21,58
59;21,58
60;21,58
61;21,58
62;21,58
63;21,58
64;21,58
65;21,58
66;21,58
67;21,58
68;21,58
69;21,58
70;21,58
71;21,58
72;21,58
73;21,58
74;21,58
75;21,58
76;21,58
77;21,58
78;21,58
79;21,58
80;21,58
81;21,58
82;21,58
83;21,58
84;21,58
85;21,58
86;21,58
87;21,58
88;21,58
89;21,58
90;21,58
91;21,58
92;21,58
93;21,58
94;21,58
95;21,58
