tick;traderType;traderName;bidType;offeredPrice;clearedPrice;offeredQuantity;assignedQuantity
-96;TotalLoad;totalload;EnergyDemand;3000;3000;10823;7831,25;
-96;TotalLoad;renewables;EnergySupply;-3000;3000;1348;1348;
-96;FlexPowerplant2;DESSAU S1;EnergySupplyMustRun;-202,87;3000;1;1;
-96;FlexPowerplant2;DESSAU S2;EnergySupplyMustRun;-202,87;3000;1;1;
-96;FlexPowerplant2;MOORBURG-A;EnergySupplyMustRun;-197,83;3000;54;54;
-96;FlexPowerplant2;MOORBURG-B;EnergySupplyMustRun;-197,83;3000;54;54;
-96;FlexPowerplant2;WESTFALEN-D;EnergySupplyMustRun;-196,68;3000;51,25;51,25;
-96;FlexPowerplant2;RDK (KARLSRUHE) 8;EnergySupplyMustRun;-196,6;3000;57;57;
-96;FlexPowerplant2;WESTFALEN-E;EnergySupplyMustRun;-196,6;3000;51,25;51,25;
-96;FlexPowerplant2;WILHELMSHAVEN-C;EnergySupplyMustRun;-196,6;3000;50;50;
-96;FlexPowerplant2;LUNEN-4 NO 1;EnergySupplyMustRun;-196,51;3000;47;47;
-96;FlexPowerplant2;GKM 9;EnergySupplyMustRun;-196,5;3000;57;57;
-96;FlexPowerplant2;WALSUM-10;EnergySupplyMustRun;-196,17;3000;49,5;49,5;
-96;FlexPowerplant2;BREMEN-HAFEN 6;EnergySupplyMustRun;-195,21;3000;20,75;20,75;
-96;FlexPowerplant2;ALTBACH-II NO 1;EnergySupplyMustRun;-194,69;3000;21,75;21,75;
-96;FlexPowerplant2;REUTER WEST B;EnergySupplyMustRun;-192,65;3000;18,75;18,75;
-96;FlexPowerplant2;VOERDE B;EnergySupplyMustRun;-192,28;3000;47,5;47,5;
-96;FlexPowerplant2;ROMERBRUCKE 2;EnergySupplyMustRun;-191,78;3000;3,5;3,5;
-96;FlexPowerplant2;VOERDE A;EnergySupplyMustRun;-191,49;3000;47,5;47,5;
-96;FlexPowerplant2;NEURATH F;EnergySupplyMustRun;-191,25;3000;70;70;
-96;FlexPowerplant2;NEURATH G;EnergySupplyMustRun;-191,25;3000;70;70;
-96;FlexPowerplant2;RDK (KARLSRUHE) 7;EnergySupplyMustRun;-191,14;3000;34,5;34,5;
-96;FlexPowerplant2;BOXBERG R;EnergySupplyMustRun;-190,89;3000;42,25;42,25;
-96;FlexPowerplant2;NIEDERAUSSEM K;EnergySupplyMustRun;-190,7;3000;63,25;63,25;
-96;FlexPowerplant2;LIPPENDORF R;EnergySupplyMustRun;-190,65;3000;58,25;58,25;
-96;FlexPowerplant2;LIPPENDORF S;EnergySupplyMustRun;-190,6;3000;58,25;58,25;
-96;FlexPowerplant2;BERGKAMEN A;EnergySupplyMustRun;-190,44;3000;48,5;48,5;
-96;FlexPowerplant2;COTTBUS CHP S1;EnergySupplyMustRun;-190,42;3000;3;3;
-96;FlexPowerplant2;REUTER WEST A;EnergySupplyMustRun;-190,36;3000;18,75;18,75;
-96;FlexPowerplant2;BOXBERG Q;EnergySupplyMustRun;-190,14;3000;56,75;56,75;
-96;FlexPowerplant2;SCHKOPAU-II A;EnergySupplyMustRun;-190,13;3000;30;30;
-96;FlexPowerplant2;SCHKOPAU-II B;EnergySupplyMustRun;-190,13;3000;30;30;
-96;FlexPowerplant2;SCHWARZE PUMPE A;EnergySupplyMustRun;-190,03;3000;50;50;
-96;FlexPowerplant2;SCHWARZE PUMPE B;EnergySupplyMustRun;-189,98;3000;50;50;
-96;FlexPowerplant2;WEIHER 3;EnergySupplyMustRun;-189,06;3000;44,25;44,25;
-96;FlexPowerplant2;JANSCHWALDE D;EnergySupplyMustRun;-188,98;3000;31,25;31,25;
-96;FlexPowerplant2;JANSCHWALDE E;EnergySupplyMustRun;-188,87;3000;31,25;31,25;
-96;FlexPowerplant2;JANSCHWALDE F;EnergySupplyMustRun;-188,87;3000;31,25;31,25;
-96;FlexPowerplant2;JANSCHWALDE B;EnergySupplyMustRun;-188,53;3000;31,25;31,25;
-96;FlexPowerplant2;JANSCHWALDE C;EnergySupplyMustRun;-188,48;3000;31,25;31,25;
-96;FlexPowerplant2;JANSCHWALDE A;EnergySupplyMustRun;-187,94;3000;31,25;31,25;
-96;FlexPowerplant2;ROMERBRUCKE 3;EnergySupplyMustRun;-187,56;3000;2,25;2,25;
-96;FlexPowerplant2;WEST (VOERDE) 1;EnergySupplyMustRun;-187,41;3000;22,25;22,25;
-96;FlexPowerplant2;WEST (VOERDE) 2;EnergySupplyMustRun;-187,41;3000;22,25;22,25;
-96;FlexPowerplant2;REUTER C;EnergySupplyMustRun;-186,29;3000;8,25;8,25;
-96;FlexPowerplant2;MERKENICH (NORD) 2;EnergySupplyMustRun;-182,62;3000;1,5;1,5;
-96;FlexPowerplant2;MERKENICH (NORD) 3;EnergySupplyMustRun;-177,77;3000;3,75;3,75;
-96;FlexPowerplant2;COTTBUS CHP S2;EnergySupplyMustRun;-169,22;3000;1,25;1,25;
-96;FlexPowerplant2;KARLSRUHE WEST 4;EnergySupplyMustRun;-113,65;3000;1,5;1,5;
-96;FlexPowerplant2;ULM 3;EnergySupplyMustRun;-110,91;3000;1,5;1,5;
-96;FlexPowerplant2;GKM 6;EnergySupplyMustRun;-108,67;3000;28;28;
-96;FlexPowerplant2;ROSTOCK 1;EnergySupplyMustRun;-108,16;3000;55,25;55,25;
-96;FlexPowerplant2;FLENSBURG 09;EnergySupplyMustRun;-108,12;3000;3,5;3,5;
